"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"112",112,"Bí Kíp Luy<U+1EC7>n R<U+1ED3>ng: Vùng Ð<U+1EA5>t Bí <U+1EA8>n","When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",104,"Animation",7.5,"64",118531,"Dean DeBlois","Jay Baruchel","39.01"
"113",113,"The Lodge","A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",108,"Drama",6.1,"53",41603,"Severin Fiala","Riley Keough","100.0"
"114",114,"Nam Bu<U+1EDB>c Ð<U+1EC3> Yêu","A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.",116,"Drama",7.2,"67",58223,"Justin Baldoni","Haley Lu Richardson","18.87"
"115",115,"Yêu Nh<U+1EA7>m S<U+1EBF>p 'B<U+1EF1>'","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",125,"Comedy",6.8,"57",105805,"Jonathan Levine","Charlize Theron","35.42"
"116",116,"R<U+1EED>a Ti<U+1EC1>n: Bê B<U+1ED1>i Tài Li<U+1EC7>u Panama","A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.",96,"Comedy",6.3,"64",48737,"Steven Soderbergh","Gary Oldman","32.14"
"117",117,"I Am Mother","In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",113,"Drama",6.7,"43",86194,"Grant Sputore","Luke Hawker","66.76"
"118",118,"Cu<U+1ED9>c Ð<U+1EDD>i Phi Thu<U+1EDD>ng C<U+1EE7>a Chú Chó Enzo","Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",109,"Comedy",7.6,"40",28922,"Simon Curtis","Kevin Costner","15.50"
"119",119,"Chim Vàng Oanh","A boy in New York is taken in by a wealthy family after his mother is killed in a bombing at the Metropolitan Museum of Art. In a rush of panic, he steals 'The Goldfinch', a painting that eventually draws him into a world of crime.",149,"Drama",6.4,"80",21100,"John Crowley","Oakes Fegley","17.30"
"120",120,"Waves","Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",135,"Drama",7.6,"68",22427,"Trey Edward Shults","Kelvin Harrison Jr.","22.37"
"121",121,"Mr. Jones","A Welsh journalist breaks the news in the western media of the famine in Ukraine in the early 1930s.",141,"Biography",6.9,"42",9664,"Agnieszka Holland","James Norton","21.11"
"122",122,"Hai Tay Hai Súng","A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.",98,"Action",6.3,"64",55691,"Jason Howden","Daniel Radcliffe",NA
"123",123,"Mãi Là Ngu<U+1EDD>i Thuong","Everyone assumed that Sasha and Marcus would wind up together, except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder--maybe?",101,"Comedy",6.8,"41",52619,"Nahnatchka Khan","Ali Wong",NA
"124",124,"Miss Bala","Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength. Based on the Spanish-language film.",104,"Action",5.8,"64",10692,"Catherine Hardwicke","Gina Rodriguez",NA
"125",125,"Synchronic","Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",102,"Drama",6.2,"60",26343,"Justin Benson","Anthony Mackie",NA
"126",126,"Khu Ngh<U+1EC9> Du<U+1EE1>ng L<U+1EB7>n Bi<U+1EC3>n Ð<U+1ECF>","Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.",129,"Drama",6.6,"65",27667,"Gideon Raff","Mbulelo Grootboom",NA
"127",127,"Ð<U+1ECB>a Ð<U+1EA1>o Cá S<U+1EA5>u T<U+1EED> Th<U+1EA7>n","A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",87,"Action",6.1,"64",80059,"Alexandre Aja","Kaya Scodelario",NA
"128",128,"Swallow","Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",94,"Drama",6.5,"24",21096,"Carlo Mirabella-Davis","Haley Bennett",NA
"129",129,"Tu<U+1ED5>i Teen Huy Hoàng","A suburban teenager comes of age under the destructive guidance of his best friend, an aimless college dropout.",91,"Comedy",7,"46",11228,"Jason Orley","Griffin Gluck",NA
"130",130,"Ðùa V<U+1EDB>i L<U+1EED>a","A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.",96,"Comedy",5.1,"71",13547,"Andy Fickman","John Cena",NA
"131",131,"Gia Ðình Addams","The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.",86,"Animation",5.8,"89",36163,"Greg Tiernan","Oscar Isaac",NA
"132",132,"Ngh<U+1EC9> L<U+1EC5> Noi Hoang Dã","Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent alone where she meets an elephant conservationist.",85,"Comedy",6.2,"47",14718,"Ernie Barbarash","Rob Lowe",NA
"133",133,"Yes, God, Yes","After an innocent AOL chat turns racy, a Catholic teenager in the early 2000s discovers masturbation and struggles to suppress her new urges in the face of eternal damnation.",78,"Comedy",6.1,"26",13700,"Karen Maine","Natalia Dyer",NA
"134",134,"First Cow","A skilled cook has traveled west and joined a group of fur trappers in Oregon, though he only finds true connection with a Chinese immigrant also seeking his fortune. Soon the two collaborate on a successful business.",122,"Drama",7.2,"35",16443,"Kelly Reichardt","Alia Shawkat",NA
"135",135,"Angel of Mine","A woman grieving over the death of her daughter loses grip of reality when she begins to think her girl may still be alive.",98,"Drama",6.4,"57",10296,"Kim Farrant","Noomi Rapace",NA
"136",136,"Rambo: H<U+1ED3>i K<U+1EBF>t Ð<U+1EAB>m Máu","Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.",89,"Action",6.1,"54",92119,"Adrian Grunberg","Sylvester Stallone",NA
"137",137,"Quý Cô L<U+1EEB>a Ð<U+1EA3>o","Two con women - one low rent and the other high class - team up to take down the men who have wronged them.",93,"Comedy",5.4,"68",55054,"Chris Addison","Anne Hathaway",NA
"138",138,"Báo Thù","A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.",119,"Action",6.2,"70",64570,"Hans Petter Moland","Liam Neeson",NA
"139",139,"Ði<U+1EC7>p Viên <U+1EA8>n Danh","When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.",102,"Animation",6.8,"44",44382,"Nick Bruno","Rachel Brosnahan",NA
"140",140,"Feast of the Seven Fishes","A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",99,"Comedy",6.8,"42",1172,"Robert Tinnell","Tony Bingham",NA
"141",141,"Ðêm Mu<U+1ED9>n","A late night talk show host suspects that she may soon lose her long-running show.",102,"Comedy",6.5,"43",35478,"Nisha Ganatra","Emma Thompson",NA
"142",142,"Ð<U+1EE9>a Con C<U+1EE7>a Bóng T<U+1ED1>i","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",90,"Drama",6.1,"77",91536,"David Yarovesky","Elizabeth Banks",NA
"143",143,"Tài X<U+1EBF> B<U+1EA5>t Ð<U+1EAF>c Di","A detective recruits his Uber driver into an unexpected night of adventure.",93,"Action",6.2,"57",45375,"Michael Dowse","Dave Bautista",NA
"144",144,"Hung Th<U+1EA7>n Ð<U+1EA1>i Duong: Th<U+1EA3>m Sát","Two sisters diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.",90,"Adventure",5,"25",24326,"Johannes Roberts","Sophie Nélisse",NA
"145",145,"The Personal History of David Copperfield","A modern take on Charles Dickens's classic tale of a young orphan who is able to triumph over many obstacles.",119,"Comedy",6.4,"66",18446,"Armando Iannucci","Dev Patel",NA
"146",146,"B<U+1EA1>n Tôi","After receiving life-altering news, a couple finds unexpected support from their best friend, who puts his own life on hold and moves into their family home, bringing an impact much greater and more profound than anyone could have imagined",124,"Drama",7.3,"40",9593,"Gabriela Cowperthwaite","Jason Segel",NA
"147",147,"The Silence","When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.",90,"Drama",5.3,"65",42883,"John R. Leonetti","Stanley Tucci",NA
"148",148,"The Report","Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.",119,"Biography",7.2,NA,40060,"Scott Z. Burns","Adam Driver",NA
"149",149,"S<U+1ED1>ng Còn","As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",96,"Adventure",4.7,NA,33313,"Jonathan Helpert","Margaret Qualley",NA
"150",150,"Pinocchio","Old woodcarver Geppetto's puppet creation, Pinocchio, magically comes to life with dreams of becoming a real boy. Easily led astray, Pinocchio tumbles from one misadventure to another as he is tricked, kidnapped and chased by bandits.",125,"Drama",6.2,NA,11759,"Matteo Garrone","Federico Ielapi",NA
"151",151,"S<U+1EAF>c Màu Không Gian","A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.",111,"Horror",6.2,"70",43190,"Richard Stanley","Nicolas Cage","16.88"
"152",152,"Jay and Silent Bob Reboot","Jay and Silent Bob inadvertently sign away their names and rights to the new Bluntman and Chronic movie. Now they head to Hollywood to stop the film from being made. Along the way Jay discovers that he is a father.",105,"Action",5.7,"46",23795,"Kevin Smith","Joey Lauren Adams","3.49"
"153",153,"Ð<U+1ED3>i Ð<U+1ECB>a Ðàng","Uma is a young woman who wakes up in an apparently idyllic reform school for young ladies. But a dark secret lies within its walls.",95,"Fantasy",5.4,"49",21742,"Alice Waddington","Emma Roberts","45.37"
"154",154,"Long <U+1EA8>n Co M<U+1EAD>t","Early 1700: Cartographer Jonathan Green (Jason Flemyng) from Vùng Dât Quy (2014) is back to map the Russian Far East. He's forced on to China, where he confronts the Dragon Master et al. The iron masked Russian Czar escapes the Tower of London to a Russian ship.",120,"Action",4.7,"34",5950,"Oleg Stepchenko","Jason Flemyng","74.15"
"155",155,"Hai V<U+1ECB> Giáo Hoàng","Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",125,"Biography",7.6,"75",118340,"Fernando Meirelles","Anthony Hopkins","62.74"
"156",156,"Code 8","A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.",98,"Action",6.1,"48",38180,"Jeff Chan","Kari Matchett","21.36"
"157",157,"L<U+1EDD>i T<U+1EEB> Bi<U+1EC7>t","A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",100,"Comedy",7.6,"89",59955,"Lulu Wang","Shuzhen Zhao","8.55"
"158",158,"The Beach Bum","A rebellious stoner named Moondog lives life by his own rules.",95,"Comedy",5.5,"55",21132,"Harmony Korine","Matthew McConaughey","16.79"
"159",159,"The Vigil","A man providing overnight watch to a deceased member of his former Orthodox Jewish community finds himself opposite a malevolent entity, in writer-director Keith Thomas' electrifying feature debut.",89,"Horror",5.8,"69",6533,"Keith Thomas","Dave Davis","1.04"
"160",160,"M<U+1ED9>t Ð<U+1EDD>i <U+1EA8>n Gi<U+1EA5>u","The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.",174,"Biography",7.4,"78",22396,"Terrence Malick","August Diehl","4.52"
"161",161,"Harriet","The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.",125,"Action",6.6,"66",24620,"Kasi Lemmons","Cynthia Erivo","114.7"
"162",162,"Ma","A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.",99,"Horror",5.6,"53",50802,"Tate Taylor","Octavia Spencer","3.96"
"163",163,"Seberg","Inspired by real events in the life of French New Wave icon Jean Seberg. In the late 1960s, Hoover's FBI targeted her because of her political and romantic involvement with civil rights activist Hakim Jamal.",102,"Biography",5.8,"54",7883,"Benedict Andrews","Kristen Stewart","7.80"
"164",164,"Annabelle: Ác Qu<U+1EF7> Tr<U+1EDF> V<U+1EC1>","While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",106,"Horror",5.9,"53",69828,"Gary Dauberman","Vera Farmiga","9.20"
"165",165,"K<U+1EBB> B<U+1EA5>t T<U+1EED>","Ciro's body is slowly sinking in the Gulf of Naples. As he plunges into darkness, memories emerge.",116,"Crime",6.6,"61",5510,"Marco D'Amore","Marco D'Amore","105.8"
"166",166,"Chuy<U+1EC7>n Kinh D<U+1ECB> Lúc N<U+1EED>a Ðêm","On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories.",108,"Adventure",6.2,"40",71340,"André Øvredal","Zoe Margaret Colletti",NA
"167",167,"Shaft","JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.",111,"Action",6.4,"37",50616,"Tim Story","Samuel L. Jackson",NA
"168",168,"Trò Choi Tình Ái","A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.",106,"Drama",5.4,"66",39608,"Steven Knight","Matthew McConaughey",NA
